name,radius,length,OD start,OD end
2-01,0.976283,0.504667,219,219
2-02,3.993456,1.205965,219,219
2-03,19.184271,3.182041,219,219
2-04,10.343939,5.72186,219,219
2-05,10.691103,5.081477,219,219
2-06,22.343006,2.400554,219,219
2-07,17.195077,8.402227,219,250
2-08,67.172204,3.09327,250,260
2-09,23.001327,3.601541,260,250
2-10,29.802259,3.693231,250,200
2-11,6.936564,2.309466,200,170
2-12,5.60547,3.003828,170,120
2-13,8.709756,2.400337,120,80
2-14,11.59484,1.569896,80,60
2-15,7.57726,0.600671,219,219
2-16,1.405476,1.699476,219,219
2-17,6.095246,2.1153,219,219
2-18,7.748453,1.097052,219,219
2-19,1.117682,1.49717,219,219
2-20,8.371664,1.843355,219,219
2-21,2.288331,2.861852,219,219
2-22,7.226546,1.671496,219,219
2-23,4.808599,1.912658,219,219
2-24,2.074001,2.740623,219,219
2-25,7.417251,3.399997,200,150
2-26,22.560369,2.205499,219,219
2-27,11.283548,5.195121,219,250
2-28,24.026989,7.096979,250,250
2-29,10.364455,3.288718,250,200
2-30,10.462572,2.599745,260,250
2-31,8.010906,4.200135,250,200
2-32,10.404501,4.39993,200,130
2-33,6.086238,1.000603,130,110
2-34,18.985667,3.18445,110,60
2-35,7.400652,2.879411,150,100
2-36,6.652682,2.850808,160,200
2-37,6.182829,1.381177,260,260
2-38,0.99497,1.159402,260,219
2-39,2.001343,1.105359,219,219


