Island,ag30,F030,Tcs30,ag50,F050,Tcs50,ag72,F072,Tcs72,ag101,F0101,Tcs101,ag140,F0140,Tcs140,ag201,F0201,Tcs201,ag475,F0475,Tcs475,ag975,F0975,Tcs975,ag2475,F02475,Tcs2475
Alicudi,0.035,2.700,0.400,0.0558,2.700,0.400,0.0807,2.700,0.400,0.102,2.700,0.400,0.1214,2.700,0.400,0.146,2.700,0.400,0.2471,2.700,0.400,0.3212,2.700,0.400,0.4077,2.700,0.400
Arcipelago Toscano,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Filicudi,0.035,2.700,0.400,0.0558,2.700,0.400,0.0807,2.700,0.400,0.102,2.700,0.400,0.1214,2.700,0.400,0.146,2.700,0.400,0.2471,2.700,0.400,0.3212,2.700,0.400,0.4077,2.700,0.400
Isole Egadi,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Lampedusa,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Linosa,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Lipari,0.0618,2.455,0.287,0.0817,2.484,0.290,0.0983,2.506,0.294,0.1166,2.520,0.290,0.1354,2.556,0.290,0.158,2.559,0.292,0.22,2.583,0.306,0.2823,2.647,0.316,0.3746,2.761,0.324
Palmarola,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Panarea,0.0618,2.455,0.287,0.0817,2.484,0.290,0.0983,2.506,0.294,0.1166,2.520,0.290,0.1354,2.556,0.290,0.158,2.559,0.292,0.22,2.583,0.306,0.2823,2.647,0.316,0.3746,2.761,0.324
Pantelleria,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Ponza,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Salina,0.0618,2.455,0.287,0.0817,2.484,0.290,0.0983,2.506,0.294,0.1166,2.520,0.290,0.1354,2.556,0.290,0.158,2.559,0.292,0.22,2.583,0.306,0.2823,2.647,0.316,0.3746,2.761,0.324
Santo Stefano,0.0239,2.614,0.245,0.0303,2.614,0.272,0.0347,2.612,0.298,0.0389,2.664,0.326,0.043,2.694,0.366,0.0481,2.711,0.401,0.06,2.917,0.476,0.0707,3.065,0.517,0.0852,3.269,0.564
Sardegna,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
Stromboli,0.0618,2.455,0.287,0.0817,2.484,0.290,0.0983,2.506,0.294,0.1166,2.520,0.290,0.1354,2.556,0.290,0.158,2.559,0.292,0.22,2.583,0.306,0.2823,2.647,0.316,0.3746,2.761,0.324
Tremiti,0.0429,2.500,0.400,0.0554,2.500,0.400,0.0661,2.500,0.400,0.0776,2.500,0.400,0.0901,2.500,0.400,0.1056,2.500,0.400,0.15,2.500,0.400,0.1967,2.500,0.400,0.2725,2.500,0.400
Ustica,0.0429,2.500,0.400,0.0554,2.500,0.400,0.0661,2.500,0.400,0.0776,2.500,0.400,0.0901,2.500,0.400,0.1056,2.500,0.400,0.15,2.500,0.400,0.1967,2.500,0.400,0.2725,2.500,0.400
Ventotene,0.0239,2.614,0.245,0.0303,2.614,0.272,0.0347,2.612,0.298,0.0389,2.664,0.326,0.043,2.694,0.366,0.0481,2.711,0.401,0.06,2.917,0.476,0.0707,3.065,0.517,0.0852,3.269,0.564
Vulcano,0.0618,2.455,0.287,0.0817,2.484,0.290,0.0983,2.506,0.294,0.1166,2.520,0.290,0.1354,2.556,0.290,0.158,2.559,0.292,0.22,2.583,0.306,0.2823,2.647,0.316,0.3746,2.761,0.324
Zannone,0.0186,2.610,0.273,0.0235,2.672,0.296,0.0274,2.698,0.303,0.0314,2.734,0.307,0.0351,2.776,0.313,0.0393,2.817,0.322,0.05,2.884,0.340,0.0603,2.976,0.372,0.0747,3.093,0.401
