ID,Longitude,Latitude,ag30,F030,Tcs30,ag50,F050,Tcs50,ag72,F072,Tcs72,ag101,F0101,Tcs101,ag140,F0140,Tcs140,ag201,F0201,Tcs201,ag475,F0475,Tcs475,ag975,F0975,Tcs975,ag2475,F02475,Tcs2475
10007,6.748225,45.84826,0.030647,2.3926,0.199,0.039405,2.4482,0.22027,0.0479,2.393,0.24278,0.056091,2.4445,0.2487,0.065463,2.4581,0.25712,0.07743,2.4429,0.26201,0.11414,2.3868,0.2736,0.15296,2.3518,0.2821,0.22107,2.2686,0.29531
10008,6.81972,45.8522,0.032088,2.3874,0.20293,0.041456,2.4308,0.22265,0.05029,2.3888,0.24334,0.058561,2.4605,0.25039,0.068788,2.4448,0.25812,0.080817,2.4459,0.26221,0.11797,2.3937,0.27561,0.15794,2.3485,0.2839,0.22744,2.2507,0.30106
10009,6.891132,45.85609,0.033362,2.3935,0.20523,0.043426,2.4125,0.23418,0.05232,2.3998,0.24265,0.060856,2.4615,0.25204,0.071469,2.4447,0.25838,0.08393,2.4439,0.26366,0.12075,2.4039,0.27735,0.1622,2.3375,0.28585,0.23084,2.26,0.30289
10010,6.962605,45.85994,0.034473,2.3998,0.20691,0.045119,2.4005,0.23583,0.05408,2.4125,0.24183,0.063248,2.4477,0.25342,0.073846,2.4476,0.25927,0.086744,2.4484,0.26414,0.12499,2.3876,0.27847,0.16724,2.3231,0.28736,0.23355,2.2854,0.30391
10011,7.034051,45.86375,0.035374,2.4054,0.20809,0.046471,2.3931,0.23704,0.0555,2.4189,0.24684,0.065156,2.4417,0.25428,0.075803,2.4517,0.25994,0.089313,2.443,0.26525,0.12901,2.3757,0.27888,0.17242,2.3104,0.28838,0.23686,2.3082,0.30419
10012,7.105528,45.86752,0.036012,2.4098,0.20885,0.047381,2.3901,0.23779,0.05641,2.4184,0.24784,0.06633,2.4358,0.25746,0.076937,2.4526,0.26128,0.091068,2.4347,0.2666,0.13142,2.3697,0.27972,0.17297,2.3344,0.28994,0.23354,2.3683,0.30401
10013,7.177008,45.87124,0.036375,2.4139,0.20928,0.047818,2.3936,0.23794,0.05678,2.42,0.24881,0.066681,2.4282,0.25932,0.077141,2.4482,0.26359,0.090409,2.4594,0.26848,0.12863,2.4233,0.28153,0.16716,2.4107,0.29151,0.22456,2.4494,0.30422
10014,7.248435,45.87493,0.036472,2.4176,0.20934,0.047819,2.4003,0.23784,0.05666,2.4289,0.24877,0.066337,2.4231,0.26126,0.076588,2.4376,0.26686,0.089435,2.4539,0.2722,0.1247,2.4765,0.28365,0.15974,2.4944,0.29324,0.2129,2.5442,0.30443
10015,7.319813,45.87858,0.036316,2.4206,0.20909,0.047435,2.4086,0.23758,0.05612,2.4385,0.24844,0.065451,2.4385,0.2593,0.075489,2.4375,0.26872,0.087837,2.4447,0.27616,0.12179,2.4929,0.28614,0.15574,2.5194,0.295,0.20827,2.5613,0.30516
10016,7.391329,45.88218,0.035906,2.4231,0.20857,0.046666,2.4189,0.23703,0.05517,2.4478,0.24291,0.06401,2.4563,0.25925,0.073829,2.4537,0.26885,0.08559,2.4621,0.27703,0.1184,2.49,0.29051,0.15125,2.5336,0.29763,0.20274,2.573,0.30718
10017,7.462846,45.88575,0.035273,2.425,0.20724,0.045566,2.4333,0.23526,0.05386,2.456,0.24278,0.062073,2.4755,0.25901,0.071644,2.4693,0.26883,0.082678,2.4857,0.27749,0.11437,2.4986,0.293,0.14583,2.5353,0.30164,0.19534,2.5845,0.31023
10018,7.534288,45.88927,0.034454,2.4257,0.205,0.044212,2.4489,0.23244,0.05227,2.4626,0.2422,0.05983,2.4957,0.25792,0.069089,2.4842,0.26827,0.0794,2.5093,0.2771,0.10971,2.5161,0.29426,0.1396,2.556,0.30138,0.1858,2.6114,0.314
10019,7.605888,45.89274,0.033493,2.4251,0.20299,0.042689,2.465,0.22196,0.05055,2.4656,0.24043,0.057915,2.5007,0.25534,0.066417,2.5005,0.26628,0.076478,2.5151,0.27539,0.10506,2.5288,0.29531,0.13401,2.5504,0.30469,0.1782,2.6184,0.31692
10020,7.677386,45.89618,0.032305,2.4155,0.20091,0.040961,2.4719,0.22127,0.04863,2.4551,0.24009,0.055822,2.4977,0.25389,0.063535,2.5141,0.26517,0.073377,2.5186,0.27443,0.1002,2.5423,0.29453,0.12829,2.5475,0.30655,0.17147,2.6031,0.31865
10021,7.748938,45.89957,0.030817,2.4045,0.1989,0.038982,2.4679,0.21974,0.04638,2.4354,0.2399,0.053348,2.4726,0.24766,0.060093,2.5099,0.2653,0.069618,2.5088,0.2759,0.094762,2.5357,0.29458,0.12048,2.5588,0.3065,0.16119,2.5973,0.32072
10022,7.820416,45.90293,0.029277,2.3987,0.19835,0.037093,2.4584,0.21752,0.04346,2.4596,0.2383,0.050335,2.4617,0.24677,0.056936,2.4962,0.26441,0.065168,2.5126,0.27656,0.08802,2.5347,0.29576,0.11126,2.5691,0.3078,0.14744,2.6117,0.32364
10023,7.891997,45.90623,0.027559,2.4285,0.19509,0.035087,2.4619,0.21561,0.0405,2.4917,0.22829,0.047086,2.4645,0.24684,0.053439,2.4984,0.26076,0.060423,2.5352,0.27689,0.080711,2.5716,0.29421,0.10114,2.6085,0.30921,0.13269,2.656,0.32602
10024,7.96353,45.9095,0.025889,2.4639,0.19029,0.033142,2.4651,0.2123,0.03824,2.5004,0.22574,0.04398,2.4869,0.24607,0.050055,2.4999,0.25316,0.056643,2.5397,0.27283,0.074716,2.5882,0.29255,0.092564,2.6347,0.30894,0.11937,2.7066,0.32843
10025,8.035042,45.91273,0.024256,2.4808,0.17769,0.031253,2.4683,0.20875,0.03617,2.503,0.22254,0.041026,2.5166,0.2346,0.046847,2.4996,0.25345,0.053119,2.5445,0.26761,0.06931,2.5995,0.29334,0.084973,2.6595,0.3085,0.10875,2.7482,0.33014
10026,8.106653,45.91591,0.022669,2.52,0.1752,0.029418,2.4773,0.20425,0.03416,2.5077,0.22,0.038612,2.5336,0.23243,0.043782,2.5164,0.25334,0.049784,2.5423,0.26063,0.064388,2.6116,0.29379,0.078493,2.6876,0.30829,0.099579,2.7907,0.3311
10027,8.178242,45.91906,0.021193,2.5377,0.17385,0.027631,2.4873,0.19939,0.03221,2.5134,0.21763,0.036495,2.5387,0.23005,0.040822,2.5503,0.25151,0.046624,2.5427,0.26128,0.059907,2.637,0.29153,0.0733,2.6939,0.30889,0.092353,2.8149,0.33157
10028,8.249832,45.92216,0.019797,2.5632,0.15264,0.025918,2.5002,0.19852,0.03033,2.5169,0.21378,0.034469,2.5422,0.22781,0.038461,2.5677,0.23913,0.04363,2.554,0.26095,0.056434,2.6363,0.28823,0.068547,2.7003,0.30797,0.085868,2.832,0.33189
10029,8.321424,45.92522,0.018685,2.5652,0.15343,0.024334,2.5286,0.18406,0.0286,2.5211,0.20905,0.032594,2.5469,0.22432,0.036451,2.5728,0.23515,0.040827,2.5791,0.2573,0.053188,2.6318,0.28746,0.064198,2.7107,0.3077,0.080032,2.8451,0.33041
